ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
201516,AL1M00200Q,SCUOLA SECONDARIA I GRADO,2,12 anni,10
201516,VR1M02900L,SCUOLA SECONDARIA I GRADO,3,13 anni,34
201516,VR1M020006,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,MI1M083009,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,LO1MOF5006,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,MI1M027001,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,NA1MU75009,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,13
201516,BO1M01000V,SCUOLA SECONDARIA I GRADO,1,12 anni,2
201516,PA1M02400X,SCUOLA SECONDARIA I GRADO,1,11 anni,8
201516,CT1M01600C,SCUOLA SECONDARIA I GRADO,2,11 anni,6
201516,VA1MAR500M,SCUOLA SECONDARIA I GRADO,2,12 anni,11
201516,VI1M011003,SCUOLA SECONDARIA I GRADO,2,12 anni,17
201516,PD1M01000T,SCUOLA SECONDARIA I GRADO,1,12 anni,3
201516,MI1M021002,SCUOLA SECONDARIA I GRADO,3,13 anni,61
201516,PV1M00500T,SCUOLA SECONDARIA I GRADO,2,13 anni,4
201516,MI1M071003,SCUOLA SECONDARIA I GRADO,1,11 anni,27
201516,RN1M02000L,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
201516,VI1M017002,SCUOLA SECONDARIA I GRADO,2,12 anni,31
201516,RM1M03900Q,SCUOLA SECONDARIA I GRADO,2,11 anni,6
201516,BS1M00100P,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
201516,BG1M02400V,SCUOLA SECONDARIA I GRADO,3,12 anni,7
201516,ME1MU5500F,SCUOLA SECONDARIA I GRADO,3,13 anni,8
201516,VA1M017008,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,NA1M03900R,SCUOLA SECONDARIA I GRADO,3,13 anni,2
201516,CO1M01800A,SCUOLA SECONDARIA I GRADO,1,13 anni,1
201516,FI1M02000G,SCUOLA SECONDARIA I GRADO,3,13 anni,17
201516,TV1M00500C,SCUOLA SECONDARIA I GRADO,1,11 anni,14
201516,SV1M00200X,SCUOLA SECONDARIA I GRADO,2,13 anni,2
201516,VA1M01500L,SCUOLA SECONDARIA I GRADO,1,11 anni,22
201516,MI1M04400P,SCUOLA SECONDARIA I GRADO,3,13 anni,17
201516,NA1M040001,SCUOLA SECONDARIA I GRADO,2,12 anni,10
201516,RM1M057009,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,CN1M00400Q,SCUOLA SECONDARIA I GRADO,1,11 anni,26
201516,RM1M11800G,SCUOLA SECONDARIA I GRADO,3,13 anni,61
201516,CO1MCB500P,SCUOLA SECONDARIA I GRADO,1,11 anni,12
201516,VA1M9G500V,SCUOLA SECONDARIA I GRADO,3,12 anni,4
201516,RM1M10400N,SCUOLA SECONDARIA I GRADO,3,13 anni,8
201516,CE1M002008,SCUOLA SECONDARIA I GRADO,3,13 anni,6
201516,MI1M00100R,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,3
201516,CR1M00500B,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,MI1M05800L,SCUOLA SECONDARIA I GRADO,3,13 anni,14
201516,FE1M00200P,SCUOLA SECONDARIA I GRADO,2,12 anni,20
201516,PR1M003001,SCUOLA SECONDARIA I GRADO,2,11 anni,4
201516,ME1M010008,SCUOLA SECONDARIA I GRADO,1,11 anni,16
201516,PD1M00300P,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,MI1M083009,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,5
201516,LO1MOF5006,SCUOLA SECONDARIA I GRADO,3,13 anni,17
201516,BO1M007003,SCUOLA SECONDARIA I GRADO,1,11 anni,71
201516,VT1M00600E,SCUOLA SECONDARIA I GRADO,2,11 anni,2
201516,BG1M002002,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,RO1M00300G,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,5
201516,SA1M00900B,SCUOLA SECONDARIA I GRADO,2,12 anni,14
201516,GE1M027007,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
201516,VA1M013001,SCUOLA SECONDARIA I GRADO,3,13 anni,70
201516,VE1M007004,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,MI1M021002,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,RM1M11700Q,SCUOLA SECONDARIA I GRADO,3,12 anni,3
201516,MI1M012007,SCUOLA SECONDARIA I GRADO,3,13 anni,73
201516,ME1MU5500F,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
201516,RM1M15000B,SCUOLA SECONDARIA I GRADO,3,12 anni,5
201516,RM1M03400L,SCUOLA SECONDARIA I GRADO,1,11 anni,38
201516,RM1M08000A,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,TV1M014007,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,1
201516,VA1M018004,SCUOLA SECONDARIA I GRADO,1,11 anni,7
201516,FI1M001006,SCUOLA SECONDARIA I GRADO,2,11 anni,2
201516,SV1M00200X,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
201516,BO1MZN5006,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,UD1M00600L,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,2
